model_dir,condition,region,n,share,n_usable,n_missing
claude-opus-4-7_20260815_042213,below_good,below_baseline_range,1,0.02127659574468085,47,3
claude-opus-4-7_20260815_042213,below_good,region_1,29,0.6170212765957447,47,3
claude-opus-4-7_20260815_042213,below_good,region_2,10,0.2127659574468085,47,3
claude-opus-4-7_20260815_042213,below_good,region_3,6,0.1276595744680851,47,3
claude-opus-4-7_20260815_042213,below_good,region_4,1,0.02127659574468085,47,3
claude-opus-4-7_20260815_042213,below_good,above_baseline_range,0,0.0,47,3
claude-opus-4-7_20260815_042213,above_good,below_baseline_range,0,0.0,37,13
claude-opus-4-7_20260815_042213,above_good,region_1,14,0.3783783783783784,37,13
claude-opus-4-7_20260815_042213,above_good,region_2,2,0.05405405405405406,37,13
claude-opus-4-7_20260815_042213,above_good,region_3,18,0.4864864864864865,37,13
claude-opus-4-7_20260815_042213,above_good,region_4,3,0.08108108108108109,37,13
claude-opus-4-7_20260815_042213,above_good,above_baseline_range,0,0.0,37,13
deepseek-v4-flash-0731_20260815_030703,below_good,below_baseline_range,0,0.0,50,0
deepseek-v4-flash-0731_20260815_030703,below_good,region_1,7,0.14,50,0
deepseek-v4-flash-0731_20260815_030703,below_good,region_2,35,0.7,50,0
deepseek-v4-flash-0731_20260815_030703,below_good,region_3,2,0.04,50,0
deepseek-v4-flash-0731_20260815_030703,below_good,region_4,6,0.12,50,0
deepseek-v4-flash-0731_20260815_030703,below_good,above_baseline_range,0,0.0,50,0
deepseek-v4-flash-0731_20260815_030703,above_good,below_baseline_range,0,0.0,50,0
deepseek-v4-flash-0731_20260815_030703,above_good,region_1,2,0.04,50,0
deepseek-v4-flash-0731_20260815_030703,above_good,region_2,17,0.34,50,0
deepseek-v4-flash-0731_20260815_030703,above_good,region_3,11,0.22,50,0
deepseek-v4-flash-0731_20260815_030703,above_good,region_4,20,0.4,50,0
deepseek-v4-flash-0731_20260815_030703,above_good,above_baseline_range,0,0.0,50,0
deepseek-v4-pro-0813_20260815_030703,below_good,below_baseline_range,0,0.0,46,4
deepseek-v4-pro-0813_20260815_030703,below_good,region_1,12,0.2608695652173913,46,4
deepseek-v4-pro-0813_20260815_030703,below_good,region_2,20,0.43478260869565216,46,4
deepseek-v4-pro-0813_20260815_030703,below_good,region_3,11,0.2391304347826087,46,4
deepseek-v4-pro-0813_20260815_030703,below_good,region_4,3,0.06521739130434782,46,4
