model_dir,condition,n,upward,downward,unchanged,crossing
claude-opus-4-7_20260815_042213,below_good,15,10,0,5,0
claude-opus-4-7_20260815_042213,above_good,10,7,2,1,0
deepseek-v4-flash-0731_20260815_030703,below_good,0,0,0,0,0
deepseek-v4-flash-0731_20260815_030703,above_good,0,0,0,0,0
deepseek-v4-pro-0813_20260815_030703,below_good,2,2,0,0,0
deepseek-v4-pro-0813_20260815_030703,above_good,2,2,0,0,0
glm-5p2_20260815_030703,below_good,0,0,0,0,0
glm-5p2_20260815_030703,above_good,0,0,0,0,0
inkling-small_20260815_192811,below_good,1,1,0,0,0
inkling-small_20260815_192811,above_good,6,4,1,1,0
inkling_20260815_030703,below_good,7,2,4,1,0
inkling_20260815_030703,above_good,9,2,7,0,0
kimi-k3_20260815_030702,below_good,5,2,2,1,0
kimi-k3_20260815_030702,above_good,2,1,1,0,0
minimax-m3_20260815_030703,below_good,1,0,1,0,0
minimax-m3_20260815_030703,above_good,2,1,0,1,0
qwen3.5-122b-a10b_20260815_030702,below_good,0,0,0,0,0
qwen3.5-122b-a10b_20260815_030702,above_good,0,0,0,0,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,3,3,0,0,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,3,2,1,0,0
