model_dir,condition,n_selected,n_answers,median_answer,n_claim_labels,n_claims,n_claim_and_answer,median_answer_among_claims,n_component_scale_parser_values
claude-opus-4-7_20260815_042213,below_good,50,47,25000000.0,50,50,47,25000000.0,0
claude-opus-4-7_20260815_042213,above_good,50,37,33000000.0,50,50,37,33000000.0,0
deepseek-v4-flash-0731_20260815_030703,below_good,50,50,23700000.0,40,16,16,23700000.0,0
deepseek-v4-flash-0731_20260815_030703,above_good,50,50,23734600.0,40,13,13,23800000.0,0
deepseek-v4-pro-0813_20260815_030703,below_good,50,46,28350000.0,42,11,10,27250000.0,0
deepseek-v4-pro-0813_20260815_030703,above_good,50,42,30796610.0,48,7,5,30390000.0,0
glm-5p2_20260815_030703,below_good,50,33,17850000.0,50,40,26,17925000.0,0
glm-5p2_20260815_030703,above_good,50,30,23400000.0,50,38,24,23400000.0,0
inkling-small_20260815_192811,below_good,50,33,95000000.0,49,42,32,94500000.0,0
inkling-small_20260815_192811,above_good,50,41,100000000.0,50,45,38,97500000.0,0
inkling_20260815_030703,below_good,50,35,35000000.0,49,45,31,35000000.0,1
inkling_20260815_030703,above_good,50,36,36000000.0,50,47,34,36000000.0,0
kimi-k3_20260815_030702,below_good,50,43,36600000.0,48,41,35,36600000.0,0
kimi-k3_20260815_030702,above_good,50,38,42000000.0,47,42,30,42000000.0,0
minimax-m3_20260815_030703,below_good,50,43,45000000.0,50,48,41,45000000.0,2
minimax-m3_20260815_030703,above_good,50,43,58065000.0,50,45,39,50000000.0,0
qwen3.5-122b-a10b_20260815_030702,below_good,50,45,38000000.0,50,50,45,38000000.0,0
qwen3.5-122b-a10b_20260815_030702,above_good,50,49,44000000.0,50,50,49,44000000.0,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,50,47,39000000.0,44,26,26,39000000.0,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,50,47,40460000.0,44,21,20,41100000.0,0
