model_dir,condition,region,n,n_usable,fraction,baseline_n_total,baseline_n_usable,q25,q50,q75,threshold,median_equals_threshold,caveat
claude-opus-4-7_20260815_042213,baseline,below_range,0,99,0.0,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,baseline,Q1,32,99,0.32323232323232326,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,baseline,Q2,22,99,0.2222222222222222,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,baseline,Q3,20,99,0.20202020202020202,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,baseline,Q4,25,99,0.25252525252525254,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,baseline,above_range,0,99,0.0,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,below_good,below_range,1,47,0.02127659574468085,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,below_good,Q1,29,47,0.6170212765957447,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,below_good,Q2,10,47,0.2127659574468085,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,below_good,Q3,6,47,0.1276595744680851,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,below_good,Q4,1,47,0.02127659574468085,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,below_good,above_range,0,47,0.0,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,above_good,below_range,0,37,0.0,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,above_good,Q1,14,37,0.3783783783783784,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,above_good,Q2,2,37,0.05405405405405406,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,above_good,Q3,18,37,0.4864864864864865,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
claude-opus-4-7_20260815_042213,above_good,Q4,3,37,0.08108108108108109,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
