dataset,tier,model_dir,n_models,metric,stratum,estimate,ci95_low,ci95_high,one_sided95_lower,conditional_finite_ci95_low,conditional_finite_ci95_high,bootstrap_n,bootstrap_undefined,bootstrap_undefined_fraction,interval_status,geometric_shift_pct,geometric_ci95_low_pct,geometric_ci95_high_pct
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,log,all,0.15988093087023358,0.07050283276284351,0.25012074604268136,0.0833855783281157,0.07050283276284351,0.25012074604268136,10000,0,0.0,supported,17.3371150392,7.304760911580402,28.418046703617843
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,log,known_label,0.15988093087023358,0.07050283276284351,0.25012074604268136,0.0833855783281157,0.07050283276284351,0.25012074604268136,10000,0,0.0,supported,17.3371150392,7.304760911580402,28.418046703617843
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,log,positive,0.15988093087023358,0.07050283276284351,0.25012074604268136,0.0833855783281157,0.07050283276284351,0.25012074604268136,10000,0,0.0,supported,17.3371150392,7.304760911580402,28.418046703617843
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,log,negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,,
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,binary,all,0.4186313973548016,0.22402111137710212,0.6045075623318809,0.2556755050505051,0.22402111137710212,0.6045075623318809,10000,0,0.0,supported,,,
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,binary,known_label,0.4186313973548016,0.22402111137710212,0.6045075623318809,0.2556755050505051,0.22402111137710212,0.6045075623318809,10000,0,0.0,supported,,,
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,binary,positive,0.4186313973548016,0.22402111137710212,0.6045075623318809,0.2556755050505051,0.22402111137710212,0.6045075623318809,10000,0,0.0,supported,,,
h6_corrected,per_model,claude-opus-4-7_20260815_042213,1,binary,negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,,
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,all,0.027735498727906815,0.012479829914055163,0.044965308874330465,0.01482971752208897,0.012479829914055163,0.044965308874330465,10000,0,0.0,supported,2.812370842526456,1.255802795221437,4.599157265420151
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,known_label,0.030253788556827033,0.013878891210875021,0.04946183415033988,0.016148906690527553,0.013878891210875021,0.04946183415033988,10000,0,0.0,supported,3.071608471045552,1.3975650138839415,5.070549038178596
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,positive,0.03951502751732505,0.012729613204566538,0.0702486857780637,0.01671462319036472,0.012729613204566538,0.0702486857780637,10000,0,0.0,supported,4.03061319859161,1.2810979618504585,7.277493195292914
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,negative,0.02606178060440456,0.0059114119841670925,0.0511809439156659,0.008543106587632465,0.0059114119841670925,0.0511809439156659,10000,0,0.0,supported,2.6404358396295464,0.5928918859774708,5.251332193599293
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,all,0.45999999999999996,0.28,0.62,0.32,0.28,0.62,10000,0,0.0,supported,,,
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,known_label,0.5,0.3076923076923077,0.6804878048780488,0.3421052631578948,0.3076923076923077,0.6804878048780488,10000,0,0.0,supported,,,
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,positive,0.5048076923076923,0.16666666666666669,0.8235294117647058,0.22596153846153844,0.16666666666666669,0.8235294117647058,10000,0,0.0,supported,,,
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,negative,0.5046296296296297,0.26979327442506557,0.7237762237762239,0.3076861142078533,0.26979327442506557,0.7237762237762239,10000,0,0.0,supported,,,
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,all,0.11813347508752159,0.04706027084804587,0.19326846869315414,0.05825403955735453,0.04706027084804587,0.19326846869315414,10000,0,0.0,supported,12.539431344748511,4.818518218572763,21.32084582910866
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,known_label,0.12686142805085865,0.05308691352539263,0.20458771759695482,0.0639918268167003,0.05308691352539263,0.20458771759695482,10000,0,0.0,supported,13.525969173298455,5.452129329976726,22.701908229063964
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,positive,0.08487524078737607,,,,-0.042240023416666085,0.21737953687481268,10000,61,0.0061,withheld_undefined_support,8.858124768689981,,
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,negative,0.13520598124747707,0.05063984465486691,0.22273521168134908,0.06385640815713671,0.05063984465486691,0.22273521168134908,10000,0,0.0,supported,14.477256174796608,5.194396180957587,24.948967965802566
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,all,0.33850931677018636,0.13902581170654982,0.5297314359814359,0.17279821627647712,0.13902581170654982,0.5297314359814359,10000,0,0.0,supported,,,
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,known_label,0.3520950594121326,0.14215591275269798,0.5508063194576823,0.1759742300439975,0.14215591275269798,0.5508063194576823,10000,0,0.0,supported,,,
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,positive,0.3,,,,-0.3,0.8333333333333334,10000,61,0.0061,withheld_undefined_support,,,
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,negative,0.3630268199233716,0.1294528388278388,0.5809875947806982,0.16843333137450786,0.1294528388278388,0.5809875947806982,10000,0,0.0,supported,,,
h6_corrected,per_model,glm-5p2_20260815_030703,1,log,all,0.25630332980578885,-0.03863183206220517,0.5766101067106583,0.007170478740222032,-0.03863183206220517,0.5766101067106583,10000,0,0.0,supported,29.214461447622593,-3.789513988885932,77.99942014933073
h6_corrected,per_model,glm-5p2_20260815_030703,1,log,known_label,0.25630332980578885,-0.03863183206220517,0.5766101067106583,0.007170478740222032,-0.03863183206220517,0.5766101067106583,10000,0,0.0,supported,29.214461447622593,-3.789513988885932,77.99942014933073
h6_corrected,per_model,glm-5p2_20260815_030703,1,log,positive,0.23626555055298226,-0.08771649266921287,0.5679533792612345,-0.0365845356540875,-0.08771649266921287,0.5679533792612345,10000,0,0.0,supported,26.651058810253637,-8.397946154861277,76.46517802210425
h6_corrected,per_model,glm-5p2_20260815_030703,1,log,negative,0.34027858587651494,,,,-0.39230585887717667,1.343660680931392,10000,23,0.0023,withheld_undefined_support,40.53390436436865,,
h6_corrected,per_model,glm-5p2_20260815_030703,1,binary,all,0.34242424242424246,0.11290322580645162,0.564708605664488,0.1486447876447877,0.11290322580645162,0.564708605664488,10000,0,0.0,supported,,,
h6_corrected,per_model,glm-5p2_20260815_030703,1,binary,known_label,0.34242424242424246,0.11290322580645162,0.564708605664488,0.1486447876447877,0.11290322580645162,0.564708605664488,10000,0,0.0,supported,,,
h6_corrected,per_model,glm-5p2_20260815_030703,1,binary,positive,0.28846153846153844,0.0178571428571429,0.5400093167701863,0.061581321903902496,0.0178571428571429,0.5400093167701863,10000,0,0.0,supported,,,
h6_corrected,per_model,glm-5p2_20260815_030703,1,binary,negative,0.5476190476190477,,,,0.0,1.0,10000,23,0.0023,withheld_undefined_support,,,
h6_corrected,per_model,inkling-small_20260815_192811,1,log,all,0.15812073728699616,-0.03433890752666491,0.35172201685390875,-0.003362394754851286,-0.03433890752666491,0.35172201685390875,10000,0,0.0,supported,17.130760667331685,-3.3756018217359594,42.15133120473371
h6_corrected,per_model,inkling-small_20260815_192811,1,log,known_label,0.15812073728699616,-0.03433890752666491,0.35172201685390875,-0.003362394754851286,-0.03433890752666491,0.35172201685390875,10000,0,0.0,supported,17.130760667331685,-3.3756018217359594,42.15133120473371
