model_dir,condition,source_total,source_reasoning_eligible,source_empty_content,source_y_parseable,source_y_positive,source_y_zero,source_y_negative,source_y_nonfinite,source_y_unparseable,h6_selected,h6_y_positive,h6_y_zero,h6_y_negative,h6_y_nonfinite,h6_y_unparseable,label_observed,label_positive,label_negative,label_missing,joint_y_label,joint_y_positive_label,joint_y_negative_label
claude-opus-4-7_20260815_042213,below_good,100,100,1,92,92,0,0,0,8,50,47,0,0,0,3,50,50,0,0,47,47,0
claude-opus-4-7_20260815_042213,above_good,100,100,0,83,83,0,0,0,17,50,37,0,0,0,13,50,50,0,0,37,37,0
deepseek-v4-flash-0731_20260815_030703,below_good,100,100,0,100,100,0,0,0,0,50,50,0,0,0,0,40,16,24,10,40,16,24
deepseek-v4-flash-0731_20260815_030703,above_good,100,100,0,100,100,0,0,0,0,50,50,0,0,0,0,40,13,27,10,40,13,27
deepseek-v4-pro-0813_20260815_030703,below_good,100,97,3,83,83,0,0,0,17,50,46,0,0,0,4,42,11,31,8,39,10,29
deepseek-v4-pro-0813_20260815_030703,above_good,100,57,43,48,48,0,0,0,52,50,42,0,0,0,8,48,7,41,2,41,5,36
glm-5p2_20260815_030703,below_good,100,100,0,63,63,0,0,0,37,50,33,0,0,0,17,50,40,10,0,33,26,7
glm-5p2_20260815_030703,above_good,100,100,0,64,64,0,0,0,36,50,30,0,0,0,20,50,38,12,0,30,24,6
inkling-small_20260815_192811,below_good,100,100,0,67,67,0,0,0,33,50,33,0,0,0,17,49,42,7,1,33,32,1
inkling-small_20260815_192811,above_good,100,100,0,83,83,0,0,0,17,50,41,0,0,0,9,50,45,5,0,41,38,3
inkling_20260815_030703,below_good,100,100,0,73,73,0,0,0,27,50,35,0,0,0,15,49,45,4,1,34,31,3
inkling_20260815_030703,above_good,100,100,0,72,72,0,0,0,28,50,36,0,0,0,14,50,47,3,0,36,34,2
kimi-k3_20260815_030702,below_good,100,99,0,89,89,0,0,0,11,50,43,0,0,0,7,48,41,7,2,41,35,6
kimi-k3_20260815_030702,above_good,100,99,0,79,79,0,0,0,21,50,38,0,0,0,12,47,42,5,3,35,30,5
minimax-m3_20260815_030703,below_good,100,100,0,85,85,0,0,0,15,50,43,0,0,0,7,50,48,2,0,43,41,2
minimax-m3_20260815_030703,above_good,100,100,0,84,84,0,0,0,16,50,43,0,0,0,7,50,45,5,0,43,39,4
qwen3.5-122b-a10b_20260815_030702,below_good,100,95,5,88,88,0,0,0,12,50,50,0,0,0,0,50,50,0,0,50,50,0
qwen3.5-122b-a10b_20260815_030702,above_good,100,99,1,95,95,0,0,0,5,50,50,0,0,0,0,50,50,0,0,50,50,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,100,84,16,80,80,0,0,0,20,50,47,0,0,0,3,44,26,18,6,42,26,16
qwen3p8-2p4t-a95b_20260815_030703,above_good,100,100,0,93,93,0,0,0,7,50,47,0,0,0,3,44,21,23,6,41,20,21
