model_dir,condition,selected,observed,positive,positive_rate,caveat
claude-opus-4-7_20260815_042213,below_good,50,50,50,1.0,Descriptive balance cannot remove post-treatment selection.
claude-opus-4-7_20260815_042213,above_good,50,50,50,1.0,Descriptive balance cannot remove post-treatment selection.
deepseek-v4-flash-0731_20260815_030703,below_good,50,40,16,0.4,Descriptive balance cannot remove post-treatment selection.
deepseek-v4-flash-0731_20260815_030703,above_good,50,40,13,0.325,Descriptive balance cannot remove post-treatment selection.
deepseek-v4-pro-0813_20260815_030703,below_good,50,42,11,0.2619047619047619,Descriptive balance cannot remove post-treatment selection.
deepseek-v4-pro-0813_20260815_030703,above_good,50,48,7,0.14583333333333334,Descriptive balance cannot remove post-treatment selection.
glm-5p2_20260815_030703,below_good,50,50,40,0.8,Descriptive balance cannot remove post-treatment selection.
glm-5p2_20260815_030703,above_good,50,50,38,0.76,Descriptive balance cannot remove post-treatment selection.
inkling-small_20260815_192811,below_good,50,49,42,0.8571428571428571,Descriptive balance cannot remove post-treatment selection.
inkling-small_20260815_192811,above_good,50,50,45,0.9,Descriptive balance cannot remove post-treatment selection.
inkling_20260815_030703,below_good,50,49,45,0.9183673469387755,Descriptive balance cannot remove post-treatment selection.
inkling_20260815_030703,above_good,50,50,47,0.94,Descriptive balance cannot remove post-treatment selection.
kimi-k3_20260815_030702,below_good,50,48,41,0.8541666666666666,Descriptive balance cannot remove post-treatment selection.
kimi-k3_20260815_030702,above_good,50,47,42,0.8936170212765957,Descriptive balance cannot remove post-treatment selection.
minimax-m3_20260815_030703,below_good,50,50,48,0.96,Descriptive balance cannot remove post-treatment selection.
minimax-m3_20260815_030703,above_good,50,50,45,0.9,Descriptive balance cannot remove post-treatment selection.
qwen3.5-122b-a10b_20260815_030702,below_good,50,50,50,1.0,Descriptive balance cannot remove post-treatment selection.
qwen3.5-122b-a10b_20260815_030702,above_good,50,50,50,1.0,Descriptive balance cannot remove post-treatment selection.
qwen3p8-2p4t-a95b_20260815_030703,below_good,50,44,26,0.5909090909090909,Descriptive balance cannot remove post-treatment selection.
qwen3p8-2p4t-a95b_20260815_030703,above_good,50,44,21,0.4772727272727273,Descriptive balance cannot remove post-treatment selection.
