dataset,tier,model_dir,stratum,lower,upper,interpretation
h6_corrected,per_model,claude-opus-4-7_20260815_042213,all,0.21999999999999997,0.54,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,claude-opus-4-7_20260815_042213,known_label,0.21999999999999997,0.54,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,claude-opus-4-7_20260815_042213,positive,0.21999999999999997,0.54,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,claude-opus-4-7_20260815_042213,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,all,0.45999999999999996,0.45999999999999996,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,known_label,0.5,0.5,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,positive,0.5048076923076923,0.5048076923076923,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-flash-0731_20260815_030703,negative,0.5046296296296297,0.5046296296296297,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,all,0.18000000000000005,0.41999999999999993,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,known_label,0.20833333333333331,0.4255952380952381,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,positive,0.0649350649350649,0.4415584415584416,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,deepseek-v4-pro-0813_20260815_030703,negative,0.2383949645948073,0.4248623131392605,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,glm-5p2_20260815_030703,all,-0.15999999999999998,0.58,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,glm-5p2_20260815_030703,known_label,-0.15999999999999998,0.58,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,glm-5p2_20260815_030703,positive,-0.17631578947368426,0.5421052631578946,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,glm-5p2_20260815_030703,negative,-0.08333333333333331,0.7166666666666666,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling-small_20260815_192811,all,-0.16000000000000003,0.36,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling-small_20260815_192811,known_label,-0.1489795918367347,0.3575510204081632,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling-small_20260815_192811,positive,-0.09047619047619049,0.3031746031746032,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling-small_20260815_192811,negative,-0.4,0.8571428571428572,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling_20260815_030703,all,-0.21999999999999997,0.36000000000000004,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling_20260815_030703,known_label,-0.22979591836734692,0.35632653061224495,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling_20260815_030703,positive,-0.23356973995271868,0.35413711583924345,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,inkling_20260815_030703,negative,-0.16666666666666669,0.41666666666666663,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,kimi-k3_20260815_030702,all,0.06000000000000005,0.44,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,kimi-k3_20260815_030702,known_label,0.09485815602836883,0.4960106382978723,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,kimi-k3_20260815_030702,positive,-0.012195121951219523,0.41986062717770034,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,kimi-k3_20260815_030702,negative,0.8571428571428572,1.0,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,minimax-m3_20260815_030703,all,-0.019999999999999962,0.25999999999999995,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,minimax-m3_20260815_030703,known_label,-0.019999999999999962,0.25999999999999995,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,minimax-m3_20260815_030703,positive,-0.056944444444444464,0.22222222222222227,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,minimax-m3_20260815_030703,negative,0.30000000000000004,0.5,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3.5-122b-a10b_20260815_030702,all,0.52,0.52,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3.5-122b-a10b_20260815_030702,known_label,0.52,0.52,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3.5-122b-a10b_20260815_030702,positive,0.52,0.52,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3.5-122b-a10b_20260815_030702,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3p8-2p4t-a95b_20260815_030703,all,0.32,0.44000000000000006,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3p8-2p4t-a95b_20260815_030703,known_label,0.31818181818181823,0.4318181818181818,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3p8-2p4t-a95b_20260815_030703,positive,0.3772893772893772,0.4249084249084249,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,per_model,qwen3p8-2p4t-a95b_20260815_030703,negative,0.2632850241545894,0.46135265700483086,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
h6_corrected,primary_9,,all,0.11333333333333334,0.44,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,primary_9,,known_label,0.12158494044512283,0.4490784856818292,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,primary_9,,positive,0.11695508703320136,0.4256906609764201,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,primary_9,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,all_10,,all,0.12000000000000002,0.438,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,all_10,,known_label,0.1302597797339439,0.4467301609231701,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,all_10,,positive,0.11175308482338771,0.4272774390346223,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,all_10,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,raw_reasoning_8,,all,0.1,0.4275,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
